Model,Compute Cost,Wall-clock (s),RMSE (h1),In 90% MCS?,Best Strategy,Best Sharpe,"vs. GARCH(1,1) (same strategy)"
"GJR-GARCH(1,1)","Low (secs-min, part of ~15-25min/4 models combined)",,6.949,False,VRP,2.963,0.833
LSTM,Very High,14351.0,5.138,False,VRP,2.954,0.824
HAR-X,"Very Low (OLS, negligible)",,1.81,True,VRP,2.86,0.73
GARCH-RF,Medium,1005.0,2.098,False,VRP,2.793,0.662
HAR-RV,"Very Low (OLS, negligible)",,1.825,True,VRP,2.79,0.66
GARCH-XGBoost,Low,61.0,6.446,False,VRP,2.783,0.653
Random Forest,Low-Medium (not separately timed),,2.024,False,VRP,2.781,0.651
Persistence,Negligible (no fitting),0.0,1.844,True,VRP,2.757,0.626
XGBoost,Low-Medium (not separately timed),,6.555,False,VRP,2.718,0.588
"GARCH(1,1)","Low (secs-min, part of ~15-25min/4 models combined)",,6.255,False,VRP,2.13,0.0
"EGARCH(1,1)","Low (secs-min, part of ~15-25min/4 models combined)",,7.364,False,VRP,1.218,-0.912
