,importance
rv_lag1,0.2678498491793174
max_abs_ret_20,0.19937495605432407
rv_lag10,0.08465751100285428
spy_rv,0.07269943714725202
hl_range_ma5,0.06589604493618317
rv_momentum_5_20,0.05199336587975914
vix_level,0.04852079008998152
rv_ma60,0.04137058872360499
rv_lag20,0.026904384884830934
gap_freq_20,0.021105699461974305
hl_range,0.017862226474655588
ret_kurt_20,0.01675602590678977
rv_lag5,0.013622075717071608
ret_skew_20,0.01343350878958554
rv_lag60,0.00894883004587453
absret_lag5,0.0074080555930641735
absret_lag2,0.007329231026544875
absret_lag3,0.006860950362125329
absret_lag1,0.005203339789911405
ret_sq_lag1,0.00517357460936098
volume_ratio,0.00391606913741831
ret_lag3,0.0027739826741901286
ret_lag5,0.002611412519728575
ret_lag2,0.002541407448709525
ret_lag1,0.0023717814231984345
vix_change,0.0018919984032442468
dow_4,0.00021690580156678177
dow_2,0.00018517415233963925
dow_3,0.0001834090623605967
dow_1,0.00017869401210472667
dow_0,0.00015871969007335082
