model,RMSE,MAE,QLIKE,DirAcc,vs_IV_RMSE_diff
"GJR-GARCH(1,1)",8.626598308986148,5.794125367028815,1.7596240981600155,0.5106382978723404,-0.9589058021690189
"GARCH(1,1)",9.073050403491381,5.6895061785515955,1.7912866906589284,0.46808510638297873,-0.5124537076637861
"EGARCH(1,1)",9.095948414555576,5.47957719527139,1.809934044136067,0.425531914893617,-0.4895556965995915
Implied Vol (VIX),9.585504111155167,6.776151724438974,2.2666162446501597,0.5319148936170213,0.0
LSTM,10.626411022126115,6.392457652521781,1.7542153410796333,0.40425531914893614,1.0409069109709481
XGBoost,10.696540587889467,6.3553886407824765,1.7532366239382797,0.3829787234042553,1.1110364767343004
GARCH-XGBoost,10.760629498720538,6.43402602398249,1.8710794911756774,0.40425531914893614,1.1751253875653713
Random Forest,11.720943694433403,6.749618471226161,1.767404993183761,0.425531914893617,2.1354395832782362
GARCH-RF,12.145999762960873,7.470448233790466,2.1202758651077183,0.40425531914893614,2.560495651805706
HAR-RV,14.428421468900625,8.927713131886913,2.1675799479079356,0.3829787234042553,4.842917357745458
