date,seed,model,h1,rv_h1
2017-12-31,42,LSTM,6.005916633339654,5.820113387944522
2017-12-31,7,LSTM,5.539943989467793,5.820113387944522
2017-12-31,123,LSTM,6.170230468260717,5.820113387944522
2017-12-31,2024,LSTM,5.55033613654774,5.820113387944522
2017-12-31,99,LSTM,5.617131268730003,5.820113387944522
2018-04-30,42,LSTM,16.406447236309596,15.153431126085556
2018-04-30,7,LSTM,16.173099486120595,15.153431126085556
2018-04-30,123,LSTM,16.003989279607723,15.153431126085556
2018-04-30,2024,LSTM,16.56517187668956,15.153431126085556
2018-04-30,99,LSTM,17.31205586977402,15.153431126085556
2018-08-31,42,LSTM,7.013857475187701,7.060597869729329
2018-08-31,7,LSTM,7.2750462318253755,7.060597869729329
2018-08-31,123,LSTM,7.17958937558026,7.060597869729329
2018-08-31,2024,LSTM,6.997567396222787,7.060597869729329
2018-08-31,99,LSTM,7.045338128771077,7.060597869729329
2018-12-31,42,LSTM,29.157396376931157,28.585397078502773
2018-12-31,7,LSTM,28.87537500169715,28.585397078502773
2018-12-31,123,LSTM,29.468590778060296,28.585397078502773
2018-12-31,2024,LSTM,32.19055963713095,28.585397078502773
2018-12-31,99,LSTM,30.40975625194551,28.585397078502773
2019-04-30,42,LSTM,6.332747703039546,5.885297721255098
2019-04-30,7,LSTM,6.903730040674043,5.885297721255098
2019-04-30,123,LSTM,6.76686161065129,5.885297721255098
2019-04-30,2024,LSTM,6.821640179403244,5.885297721255098
2019-04-30,99,LSTM,5.805389642739445,5.885297721255098
2019-08-31,42,LSTM,21.54560681894045,23.508795569343405
2019-08-31,7,LSTM,22.333698035289704,23.508795569343405
2019-08-31,123,LSTM,21.77051873526427,23.508795569343405
2019-08-31,2024,LSTM,22.595656710468496,23.508795569343405
2019-08-31,99,LSTM,22.1093728808181,23.508795569343405
2019-12-31,42,LSTM,7.872013607688309,7.06215737078676
2019-12-31,7,LSTM,7.859240434083315,7.06215737078676
2019-12-31,123,LSTM,7.924925198103083,7.06215737078676
2019-12-31,2024,LSTM,7.7415357354321435,7.06215737078676
2019-12-31,99,LSTM,7.673880330327842,7.06215737078676
2020-04-30,42,LSTM,38.4032732008377,37.441893812961915
2020-04-30,7,LSTM,37.83934281662678,37.441893812961915
2020-04-30,123,LSTM,33.39905810197309,37.441893812961915
2020-04-30,2024,LSTM,36.775898005847054,37.441893812961915
2020-04-30,99,LSTM,35.217239068516434,37.441893812961915
2020-08-31,42,LSTM,9.584557668938828,8.346642738623656
2020-08-31,7,LSTM,9.592044887843294,8.346642738623656
2020-08-31,123,LSTM,9.55368685629701,8.346642738623656
2020-08-31,2024,LSTM,9.77881830638879,8.346642738623656
2020-08-31,99,LSTM,9.422140101304109,8.346642738623656
2020-12-31,42,LSTM,9.053342203741055,9.647546295612331
2020-12-31,7,LSTM,9.013335658871197,9.647546295612331
2020-12-31,123,LSTM,8.679419416767065,9.647546295612331
2020-12-31,2024,LSTM,9.13574629296072,9.647546295612331
2020-12-31,99,LSTM,9.305900418898,9.647546295612331
2021-04-30,42,LSTM,10.914135158522328,10.027328778508734
2021-04-30,7,LSTM,10.998099190391802,10.027328778508734
2021-04-30,123,LSTM,10.802004197596501,10.027328778508734
2021-04-30,2024,LSTM,10.747770266620433,10.027328778508734
2021-04-30,99,LSTM,10.788754093203758,10.027328778508734
2021-08-31,42,LSTM,8.319761053432387,8.056833953393419
2021-08-31,7,LSTM,8.952286571364535,8.056833953393419
2021-08-31,123,LSTM,8.513190690420759,8.056833953393419
2021-08-31,2024,LSTM,8.49973652483989,8.056833953393419
2021-08-31,99,LSTM,8.558419341553012,8.056833953393419
2021-12-31,42,LSTM,16.764814151037452,16.02770736312624
2021-12-31,7,LSTM,16.665698809692955,16.02770736312624
2021-12-31,123,LSTM,16.97509950264336,16.02770736312624
2021-12-31,2024,LSTM,16.83788008305758,16.02770736312624
2021-12-31,99,LSTM,16.421773172665624,16.02770736312624
2022-04-30,42,LSTM,23.248685805370897,24.750882358713177
2022-04-30,7,LSTM,24.00449103945151,24.750882358713177
2022-04-30,123,LSTM,21.764397366730805,24.750882358713177
2022-04-30,2024,LSTM,22.158750472399078,24.750882358713177
2022-04-30,99,LSTM,22.20875666574377,24.750882358713177
2022-08-31,42,LSTM,20.053403827793513,19.37189765178452
2022-08-31,7,LSTM,21.138476004659598,19.37189765178452
2022-08-31,123,LSTM,20.79220032223982,19.37189765178452
2022-08-31,2024,LSTM,21.951132184147728,19.37189765178452
2022-08-31,99,LSTM,21.06152986883891,19.37189765178452
2022-12-31,42,LSTM,20.267447626030016,18.030056859815588
2022-12-31,7,LSTM,20.377822884579203,18.030056859815588
2022-12-31,123,LSTM,18.820054253650913,18.030056859815588
2022-12-31,2024,LSTM,20.00829906014799,18.030056859815588
2022-12-31,99,LSTM,17.136599391076956,18.030056859815588
2023-04-30,42,LSTM,12.657994579551032,12.30885840336378
2023-04-30,7,LSTM,12.033121740131897,12.30885840336378
2023-04-30,123,LSTM,12.412737356697189,12.30885840336378
2023-04-30,2024,LSTM,12.6511487112712,12.30885840336378
2023-04-30,99,LSTM,10.800089426395587,12.30885840336378
2023-08-31,42,LSTM,13.111241852999095,11.903051855298784
2023-08-31,7,LSTM,13.058338177579797,11.903051855298784
2023-08-31,123,LSTM,12.850819236152237,11.903051855298784
2023-08-31,2024,LSTM,13.160050612394308,11.903051855298784
2023-08-31,99,LSTM,13.007572644066899,11.903051855298784
2023-12-31,42,LSTM,8.41822111297122,9.629718260895311
2023-12-31,7,LSTM,8.78392428408241,9.629718260895311
2023-12-31,123,LSTM,8.582523595207427,9.629718260895311
2023-12-31,2024,LSTM,8.745296495674138,9.629718260895311
2023-12-31,99,LSTM,8.76216868496692,9.629718260895311
2024-04-30,42,LSTM,12.004901943777442,13.43938302996639
2024-04-30,7,LSTM,12.990443294068116,13.43938302996639
2024-04-30,123,LSTM,13.029419095852436,13.43938302996639
2024-04-30,2024,LSTM,12.889316233474446,13.43938302996639
