Strategy,Model,Ann. Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Calmar,Ann. Cost Drag
Vol-Timing,"GARCH(1,1)",0.1161,0.1579,0.4823,0.5965,-0.2255,0.5149,0.0008
Risk-Parity,"GARCH(1,1)",0.0685,0.1339,0.2127,0.1782,-0.3191,0.2145,0.0003
Regime-Based,"GARCH(1,1)",0.12,0.1223,0.6544,0.8221,-0.1492,0.8044,0.0009
VRP,"GARCH(1,1)",0.0922,0.0245,2.1304,1.0476,-0.148,0.623,0.0003
Vol-Timing,"EGARCH(1,1)",0.1093,0.1578,0.4389,0.5319,-0.2653,0.4119,0.0006
Risk-Parity,"EGARCH(1,1)",0.0679,0.1347,0.207,0.1728,-0.3236,0.2097,0.0002
Regime-Based,"EGARCH(1,1)",0.1135,0.124,0.5924,0.694,-0.2158,0.5258,0.0006
VRP,"EGARCH(1,1)",0.077,0.0303,1.2185,0.4891,-0.2136,0.3603,0.0003
Vol-Timing,"GJR-GARCH(1,1)",0.1188,0.1625,0.4848,0.6045,-0.2191,0.5423,0.001
Risk-Parity,"GJR-GARCH(1,1)",0.0688,0.1335,0.2156,0.1808,-0.3147,0.2186,0.0003
Regime-Based,"GJR-GARCH(1,1)",0.1228,0.129,0.6424,0.7998,-0.197,0.6235,0.0011
VRP,"GJR-GARCH(1,1)",0.1123,0.0244,2.9633,1.8404,-0.0939,1.1967,0.0002
Vol-Timing,HAR-RV,0.1249,0.1758,0.4827,0.5814,-0.2602,0.4799,0.0016
Risk-Parity,HAR-RV,0.0692,0.1333,0.2191,0.1837,-0.3221,0.2149,0.0007
Regime-Based,HAR-RV,0.1272,0.1241,0.7023,0.8608,-0.1472,0.8639,0.0009
VRP,HAR-RV,0.1292,0.032,2.7899,1.4241,-0.1905,0.6782,0.0006
Vol-Timing,HAR-X,0.1239,0.1745,0.4806,0.5805,-0.2512,0.4931,0.0016
Risk-Parity,HAR-X,0.0692,0.1333,0.219,0.1836,-0.3219,0.215,0.0007
Regime-Based,HAR-X,0.1268,0.1253,0.6931,0.8479,-0.1472,0.8616,0.0009
VRP,HAR-X,0.1269,0.0304,2.8604,1.515,-0.1761,0.7209,0.0006
Vol-Timing,Persistence,0.1251,0.1763,0.4826,0.5808,-0.2639,0.474,0.0016
Risk-Parity,Persistence,0.0692,0.1334,0.2188,0.1833,-0.3224,0.2146,0.0007
Regime-Based,Persistence,0.1204,0.1371,0.5868,0.6886,-0.2448,0.4921,0.0008
VRP,Persistence,0.1292,0.0324,2.7567,1.3971,-0.1946,0.6641,0.0006
Vol-Timing,Random Forest,0.1264,0.1767,0.489,0.5891,-0.266,0.4752,0.0016
Risk-Parity,Random Forest,0.0687,0.1334,0.2152,0.1802,-0.3227,0.2129,0.0007
Regime-Based,Random Forest,0.1297,0.1268,0.7071,0.8684,-0.1472,0.8811,0.0008
VRP,Random Forest,0.1295,0.0322,2.7811,1.4289,-0.1926,0.6725,0.0006
Vol-Timing,XGBoost,0.1265,0.1792,0.483,0.5799,-0.2798,0.4522,0.0016
Risk-Parity,XGBoost,0.0678,0.1336,0.2083,0.1745,-0.3228,0.2102,0.0007
Regime-Based,XGBoost,0.1184,0.1358,0.5773,0.6723,-0.2448,0.4838,0.0009
VRP,XGBoost,0.1298,0.033,2.7179,1.37,-0.205,0.6329,0.0006
Vol-Timing,LSTM,0.1294,0.1766,0.506,0.6122,-0.2659,0.4866,0.0016
Risk-Parity,LSTM,0.0686,0.1335,0.2144,0.1795,-0.3232,0.2123,0.0007
Regime-Based,LSTM,0.1231,0.1256,0.6621,0.8113,-0.1472,0.8365,0.001
VRP,LSTM,0.1322,0.0312,2.9545,1.6043,-0.1809,0.7311,0.0006
Vol-Timing,GARCH-RF,0.1274,0.1766,0.4949,0.5967,-0.2653,0.4802,0.0016
Risk-Parity,GARCH-RF,0.0689,0.1335,0.2162,0.1807,-0.3226,0.2135,0.0007
Regime-Based,GARCH-RF,0.1297,0.1268,0.7071,0.8684,-0.1472,0.8811,0.0008
VRP,GARCH-RF,0.1296,0.0321,2.7928,1.4411,-0.192,0.675,0.0006
Vol-Timing,GARCH-XGBoost,0.1268,0.1787,0.4856,0.5837,-0.2769,0.4578,0.0016
Risk-Parity,GARCH-XGBoost,0.0683,0.1337,0.2119,0.1772,-0.3228,0.2116,0.0007
Regime-Based,GARCH-XGBoost,0.1184,0.1358,0.5773,0.6723,-0.2448,0.4838,0.0009
VRP,GARCH-XGBoost,0.1307,0.0326,2.7832,1.4233,-0.2002,0.6527,0.0006
Benchmark,Buy & Hold SPY,0.1309,0.1725,0.5271,0.6337,-0.3372,0.3883,
Benchmark,Equal-Weight 15-Stock,0.1574,0.1831,0.6413,0.7795,-0.3353,0.4694,
