Model,Cost ($/trade),Max Leverage,Sharpe,Ann. Return
Random Forest,0,1.0,0.46990645326366653,0.10966034025799781
Random Forest,0,1.25,0.5039855582704705,0.1228352258834712
Random Forest,0,1.5,0.49805516382964216,0.12799998765622303
Random Forest,0,2.0,0.44672920380191683,0.12617719413802542
Random Forest,0,3.0,0.4199149351095818,0.1238788059072807
Random Forest,5,1.0,0.4659288523015839,0.10906769281424392
Random Forest,5,1.25,0.4977183552222253,0.12179821874742015
Random Forest,5,1.5,0.4889964377574206,0.1263956361414567
Random Forest,5,2.0,0.43478885161930947,0.12387494798837367
Random Forest,5,3.0,0.40700749742282133,0.12130058011329622
Random Forest,10,1.0,0.4619490798481838,0.10847504537049003
Random Forest,10,1.25,0.49144670498616605,0.1207612116113691
Random Forest,10,1.5,0.47993141921538707,0.12479128462669041
Random Forest,10,2.0,0.42284065017788597,0.12157270183872196
Random Forest,10,3.0,0.3940908263935157,0.11872235431931175
Random Forest,20,1.0,0.4539832074927451,0.10728975048298223
Random Forest,20,1.25,0.4788905744930826,0.11868719733926698
Random Forest,20,1.5,0.4617837469278377,0.12158258159715774
Random Forest,20,2.0,0.3989234773951326,0.11696820953941851
Random Forest,20,3.0,0.3682334298798847,0.11356590273134277
Random Forest,50,1.0,0.43003835210109154,0.10373386582045888
Random Forest,50,1.25,0.441128805809503,0.11246515452296067
Random Forest,50,1.5,0.4072221146436729,0.11195647250855977
Random Forest,50,2.0,0.3270559427565528,0.10315473264150814
Random Forest,50,3.0,0.29053462485832526,0.09809654796743593
"GARCH(1,1)",0,1.0,0.49260544641543097,0.11496941642832222
"GARCH(1,1)",0,1.25,0.48732022845292317,0.11692747110697979
"GARCH(1,1)",0,1.5,0.48758974915639985,0.11697246074261183
"GARCH(1,1)",0,2.0,0.48758974915639985,0.11697246074261183
"GARCH(1,1)",0,3.0,0.48758974915639985,0.11697246074261183
"GARCH(1,1)",5,1.0,0.4889532998649151,0.11440974247855357
"GARCH(1,1)",5,1.25,0.48202161961431317,0.11608881846862922
"GARCH(1,1)",5,1.5,0.48228832689374174,0.11613333647932365
"GARCH(1,1)",5,2.0,0.48228832689374174,0.11613333647932365
"GARCH(1,1)",5,3.0,0.48228832689374174,0.11613333647932365
"GARCH(1,1)",10,1.0,0.4852996193633561,0.11385006852878492
"GARCH(1,1)",10,1.25,0.476721012441437,0.1152501658302786
"GARCH(1,1)",10,1.5,0.47698490432062807,0.11529421221603546
"GARCH(1,1)",10,2.0,0.47698490432062807,0.11529421221603546
"GARCH(1,1)",10,3.0,0.47698490432062807,0.11529421221603546
"GARCH(1,1)",20,1.0,0.47798775935283755,0.11273072062924759
"GARCH(1,1)",20,1.25,0.4661140273370978,0.11357286055357742
"GARCH(1,1)",20,1.5,0.46637228272996395,0.11361596368945909
"GARCH(1,1)",20,2.0,0.46637228272996395,0.11361596368945909
"GARCH(1,1)",20,3.0,0.46637228272996395,0.11361596368945909
"GARCH(1,1)",50,1.0,0.45601804541655816,0.10937267693063564
"GARCH(1,1)",50,1.25,0.43425095419657134,0.10854094472347384
"GARCH(1,1)",50,1.5,0.4344922590295902,0.10858121810972994
"GARCH(1,1)",50,2.0,0.4344922590295902,0.10858121810972994
"GARCH(1,1)",50,3.0,0.4344922590295902,0.10858121810972994
