Model,Strategy,Period,Sharpe,Ann. Return
"GARCH(1,1)",Regime-Based,2018-2021,0.7591118956980302,0.1353427824306426
"GARCH(1,1)",VRP,2018-2021,5.135871430158097,0.256329314002279
"GARCH(1,1)",Regime-Based,2022-2025,0.5435120198679693,0.10460401887810239
"GARCH(1,1)",VRP,2022-2025,3.400876831969344,0.11218188713150509
"EGARCH(1,1)",Regime-Based,2018-2021,0.6063615468537074,0.12131215655046558
"EGARCH(1,1)",VRP,2018-2021,3.0985920361084704,0.21211889569584852
"EGARCH(1,1)",Regime-Based,2022-2025,0.5801298383995557,0.10556564026666673
"EGARCH(1,1)",VRP,2022-2025,2.5549147538733012,0.09549197691260924
"GJR-GARCH(1,1)",Regime-Based,2018-2021,0.7153344986729087,0.1367768100931972
"GJR-GARCH(1,1)",VRP,2018-2021,6.691690643526819,0.3026112286212643
"GJR-GARCH(1,1)",Regime-Based,2022-2025,0.5626879149162314,0.10883195912120827
"GJR-GARCH(1,1)",VRP,2022-2025,4.365001096885126,0.14639926628881877
HAR-RV,Regime-Based,2018-2021,0.6239391266763606,0.11510114940187353
HAR-RV,VRP,2018-2021,3.5854683423456666,0.1991724401997978
HAR-RV,Regime-Based,2022-2025,0.7215770240335165,0.1097000816956909
HAR-RV,VRP,2022-2025,2.433826550562527,0.08325127802269101
Random Forest,Regime-Based,2018-2021,0.5587765820203326,0.12286353721542274
Random Forest,VRP,2018-2021,4.8415553188802924,0.3110410796765469
Random Forest,Regime-Based,2022-2025,0.6246235299093887,0.11801362701254715
Random Forest,VRP,2022-2025,6.1108039973696,0.2023119515394117
XGBoost,Regime-Based,2018-2021,0.5314894482803387,0.11854345425373915
XGBoost,VRP,2018-2021,4.739457560215649,0.30984589786661654
XGBoost,Regime-Based,2022-2025,0.5058146467446506,0.10228918797126878
XGBoost,VRP,2022-2025,6.132943455284173,0.21157888490540427
LSTM,Regime-Based,2018-2021,0.7915400240774874,0.1387972687954831
LSTM,VRP,2018-2021,4.787249764603235,0.3008590635454616
LSTM,Regime-Based,2022-2025,0.5761809686193236,0.10960854343518728
LSTM,VRP,2022-2025,6.3905187375489305,0.21330695500830799
GARCH-RF,Regime-Based,2018-2021,0.5728384544417999,0.10978039215689556
GARCH-RF,VRP,2018-2021,3.05998153822387,0.1783776563797589
GARCH-RF,Regime-Based,2022-2025,0.8327970003348791,0.1235681158002704
GARCH-RF,VRP,2022-2025,2.9498708250848837,0.08458622487977488
GARCH-XGBoost,Regime-Based,2018-2021,0.4867536404838816,0.11164569138954089
GARCH-XGBoost,VRP,2018-2021,4.5682159904251325,0.2903259577012034
GARCH-XGBoost,Regime-Based,2022-2025,0.615830801396728,0.11112144665494936
GARCH-XGBoost,VRP,2022-2025,5.280597963554738,0.15097965370504482
